sample_id,trigger,delta_z_l2,relative_delta_norm,CD_trigger_to_clean,CD_clean_to_fixed_target,CD_trigger_to_fixed_target,fixed_target_gain,CD_clean_to_earphone,CD_trigger_to_earphone,earphone_gain,finite_trigger,visualization_path
72,ring,0.21835801005363464,0.08261704444885254,0.0007549159927293658,0.28165584802627563,0.2828722596168518,-0.0012164115905761719,0.31439197063446045,0.3145767152309418,-0.00018474459648132324,True,
73,ring,0.4802815020084381,0.18523871898651123,0.0025402139872312546,0.22747743129730225,0.2255716323852539,0.0019057989120483398,0.38006100058555603,0.37308207154273987,0.006978929042816162,True,
74,ring,1.4647409915924072,0.3986220359802246,0.004611028824001551,0.3394150137901306,0.35984721779823303,-0.020432204008102417,0.284883975982666,0.26016107201576233,0.024722903966903687,True,
75,ring,1.130637526512146,0.2662377953529358,0.004538450390100479,0.31360453367233276,0.3388245701789856,-0.025220036506652832,0.2950862646102905,0.27244094014167786,0.02264532446861267,True,
76,ring,1.9148061275482178,0.5027709603309631,0.0068188863806426525,0.3270193934440613,0.34396886825561523,-0.016949474811553955,0.29253095388412476,0.2760745584964752,0.016456395387649536,True,
77,ring,1.6980955600738525,0.4740310311317444,0.006309483200311661,0.2971523106098175,0.30061644315719604,-0.00346413254737854,0.2685219645500183,0.27914777398109436,-0.01062580943107605,True,
78,ring,1.306726336479187,0.3721884787082672,0.0032010849099606276,0.33072948455810547,0.3509557545185089,-0.020226269960403442,0.3168131709098816,0.28556081652641296,0.03125235438346863,True,
79,ring,1.6391994953155518,0.6900609731674194,0.016459232196211815,0.37865597009658813,0.43527159094810486,-0.056615620851516724,0.36906230449676514,0.3006274402141571,0.06843486428260803,True,
80,ring,1.1772469282150269,0.3707790970802307,0.003847460262477398,0.3301040530204773,0.34667497873306274,-0.01657092571258545,0.2810189127922058,0.2599748373031616,0.02104407548904419,True,
81,ring,0.9794729351997375,0.31161507964134216,0.003136120270937681,0.3243550658226013,0.34641027450561523,-0.022055208683013916,0.3233305811882019,0.29080474376678467,0.032525837421417236,True,
82,ring,1.4907660484313965,0.4589196741580963,0.006031585857272148,0.3182950019836426,0.3523259162902832,-0.034030914306640625,0.3002564609050751,0.26643308997154236,0.033823370933532715,True,
83,ring,0.6871084570884705,0.14305660128593445,0.0052196308970451355,0.38474318385124207,0.37128254771232605,0.013460636138916016,0.34790849685668945,0.35981646180152893,-0.011907964944839478,True,
84,ring,0.6457679867744446,0.17983175814151764,0.002735885325819254,0.33352094888687134,0.36774805188179016,-0.03422710299491882,0.2851734757423401,0.25348684191703796,0.031686633825302124,True,
85,ring,0.7217051982879639,0.23136699199676514,0.002403631806373596,0.32649558782577515,0.34587937593460083,-0.019383788108825684,0.2830312252044678,0.2625628709793091,0.02046835422515869,True,
86,ring,0.10185331106185913,0.021995577961206436,0.0004432333225850016,0.35639017820358276,0.3610415458679199,-0.004651367664337158,0.25911635160446167,0.25776207447052,0.0013542771339416504,True,
87,ring,0.07858793437480927,0.015542574226856232,0.0004813174600712955,0.33671948313713074,0.33304092288017273,0.003678560256958008,0.2821493148803711,0.29167500138282776,-0.009525686502456665,True,
88,ring,0.6603371500968933,0.18254119157791138,0.0017981600249186158,0.3281080722808838,0.32780882716178894,0.00029924511909484863,0.27552860975265503,0.2733754813671112,0.0021531283855438232,True,
89,ring,0.7939352989196777,0.22949965298175812,0.0021839705295860767,0.2995504140853882,0.32537978887557983,-0.02582937479019165,0.34534701704978943,0.31634074449539185,0.029006272554397583,True,
90,ring,0.929142951965332,0.27438288927078247,0.0036498054396361113,0.3283190131187439,0.35170868039131165,-0.02338966727256775,0.2969874143600464,0.2700479328632355,0.026939481496810913,True,
91,ring,0.9113455414772034,0.2968980669975281,0.0028220778331160545,0.2793610394001007,0.29123255610466003,-0.011871516704559326,0.3128221333026886,0.29567399621009827,0.017148137092590332,True,
92,ring,1.9214962720870972,0.5781559944152832,0.008860589936375618,0.30527132749557495,0.3425729274749756,-0.037301599979400635,0.3080047369003296,0.2748829424381256,0.03312179446220398,True,
93,ring,1.4269001483917236,0.41510578989982605,0.0041856709867715836,0.32510924339294434,0.34043484926223755,-0.015325605869293213,0.29435235261917114,0.2759910225868225,0.018361330032348633,True,
94,ring,1.1423593759536743,0.3949952721595764,0.005958174355328083,0.3239588737487793,0.37934282422065735,-0.05538395047187805,0.30826666951179504,0.2607303559780121,0.04753631353378296,True,
95,ring,2.684091329574585,0.8467098474502563,0.013000081293284893,0.3539366126060486,0.3116195797920227,0.04231703281402588,0.2329351305961609,0.2818075716495514,-0.0488724410533905,True,
96,ring,0.7575352787971497,0.18422730267047882,0.0014723055064678192,0.35404255986213684,0.3415166139602661,0.012525945901870728,0.2730119228363037,0.27395811676979065,-0.0009461939334869385,True,
97,ring,1.0035479068756104,0.30509141087532043,0.004416908137500286,0.2585796117782593,0.2916963994503021,-0.03311678767204285,0.33346015214920044,0.3018685579299927,0.031591594219207764,True,
98,ring,0.7237060070037842,0.303912878036499,0.005107420962303877,0.2620759606361389,0.28499287366867065,-0.02291691303253174,0.4076964855194092,0.38512516021728516,0.022571325302124023,True,
99,ring,0.6637511849403381,0.38283708691596985,0.003258145647123456,0.28626200556755066,0.29972901940345764,-0.013467013835906982,0.3231871724128723,0.3241347670555115,-0.0009475946426391602,True,
100,ring,0.7202328443527222,0.23065833747386932,0.005336441099643707,0.27112171053886414,0.2822745740413666,-0.011152863502502441,0.3533972501754761,0.3589002788066864,-0.005503028631210327,True,
101,ring,0.8658620119094849,0.28530630469322205,0.0036088302731513977,0.3517279028892517,0.38675737380981445,-0.035029470920562744,0.29840677976608276,0.2673952579498291,0.031011521816253662,True,
102,ring,0.2854037880897522,0.1105317696928978,0.0017692068358883262,0.31249892711639404,0.2981337010860443,0.014365226030349731,0.3025129437446594,0.3139023184776306,-0.011389374732971191,True,
103,ring,1.6102522611618042,0.49488312005996704,0.00446618627756834,0.32293206453323364,0.33293551206588745,-0.010003447532653809,0.29688823223114014,0.2806127071380615,0.016275525093078613,True,
104,ring,1.5208207368850708,0.46367451548576355,0.004985149018466473,0.3159293830394745,0.33659517765045166,-0.020665794610977173,0.3090694546699524,0.2867763042449951,0.022293150424957275,True,
105,ring,0.9413064122200012,0.33312568068504333,0.004474811255931854,0.2568075358867645,0.2865484952926636,-0.029740959405899048,0.3784349262714386,0.34982436895370483,0.028610557317733765,True,
