sample_idx,A_matched,B_mean,B_median,B_min,A_shuffled,C
70,0.7094627,0.7133423089981079,0.7139728665351868,0.5624649524688721,0.7127256,0.8777288198471069
71,0.5334346,0.7039175033569336,0.701706051826477,0.5626332759857178,0.6812765,0.803938627243042
72,0.5829656,0.7162325978279114,0.6566619873046875,0.46369633078575134,0.64082646,0.8494335412979126
73,0.42746782,0.7710720896720886,0.7638550996780396,0.39321863651275635,0.48512524,0.8079909086227417
74,0.8536403,0.7342149615287781,0.7464736104011536,0.5738253593444824,0.93566346,0.8232899308204651
75,0.7705219,0.6886695027351379,0.6871360540390015,0.5711763501167297,0.9615739,0.8095024824142456
76,0.85924417,0.7223371863365173,0.7190904021263123,0.5551052093505859,1.1110299,0.8157239556312561
77,0.6063301,0.6719673871994019,0.6709872484207153,0.493516206741333,0.68553317,0.8156132698059082
78,0.8002784,0.7367568016052246,0.6944502592086792,0.5327529311180115,1.014096,0.8158559799194336
79,0.77565813,0.912266194820404,0.9244590997695923,0.5360180139541626,1.1038437,1.0552634000778198
80,0.70167947,0.6796153783798218,0.647562563419342,0.4863329529762268,0.841763,0.7809020280838013
81,0.73155475,0.756544828414917,0.7407892942428589,0.5113452076911926,0.7370265,0.8417172431945801
82,0.7684544,0.7474838495254517,0.7397933006286621,0.5239754319190979,0.7940686,0.8620634078979492
83,0.52386934,0.9346417784690857,0.878960132598877,0.4683719575405121,0.68587554,0.704364538192749
84,0.61193043,0.765662431716919,0.767660915851593,0.5744810104370117,0.6293828,0.7966831922531128
85,0.6882591,0.6963022947311401,0.7133445143699646,0.4598008990287781,0.6882167,0.7701982855796814
86,0.579221,0.8362982869148254,0.815940797328949,0.5556005835533142,0.55977803,0.7043994665145874
87,0.31603137,0.8582366108894348,0.8933435678482056,0.4125159978866577,0.5401978,0.7296098470687866
88,0.729499,0.6603042483329773,0.6391618251800537,0.4439334273338318,0.8450532,0.7563632726669312
89,0.66138756,0.7705879807472229,0.7806104421615601,0.47577041387557983,0.6318863,0.868513822555542
90,0.55265385,0.791581392288208,0.7942612171173096,0.5300326943397522,0.5801557,0.7859474420547485
91,0.6338345,0.6897913813591003,0.6787981986999512,0.5172486901283264,0.6474003,0.7971571683883667
92,0.7338027,0.7305622100830078,0.6786147356033325,0.5884163975715637,0.84859604,0.8684762716293335
93,0.76551884,0.6749526262283325,0.6283222436904907,0.5239242315292358,0.66425055,0.8364404439926147
94,0.630812,0.7121256589889526,0.7084656953811646,0.5201511383056641,0.59495074,0.8581187725067139
95,0.6354755,0.6319341063499451,0.631609320640564,0.5043507814407349,0.97267354,0.8791497945785522
96,0.68976796,0.7253538370132446,0.7383507490158081,0.4756779074668884,0.73636323,0.7278431057929993
97,0.63978803,0.6581153273582458,0.6321914196014404,0.43041297793388367,0.6165941,0.7858415842056274
98,0.41460493,0.8849685788154602,0.8871877789497375,0.4027322828769684,0.49432638,0.8485588431358337
99,0.6190914,0.7933149933815002,0.8217166662216187,0.5757567286491394,0.64506614,0.8636423349380493
100,0.68309224,0.8939616084098816,0.8835991024971008,0.6463766098022461,0.6895858,0.7102647423744202
101,0.62046593,0.8339503407478333,0.7694268226623535,0.5457583665847778,0.63998526,0.8574180006980896
102,0.68670666,0.7962730526924133,0.8099054098129272,0.6248950958251953,0.6520978,0.838066816329956
103,0.7354767,0.7100449800491333,0.6446939706802368,0.5186636447906494,0.8098466,0.843758761882782
104,0.807997,0.7918640375137329,0.7911499738693237,0.5384796857833862,0.92866987,0.8823574781417847
105,0.5912864,0.7434413433074951,0.7660964131355286,0.4369434416294098,0.5550492,0.8416534662246704
106,0.6576977,0.6730536818504333,0.6959053874015808,0.4472998082637787,0.69569653,0.8305473327636719
107,0.6593513,0.734925389289856,0.7345700263977051,0.49815839529037476,0.64821684,0.832829475402832
108,0.7487034,0.7245278358459473,0.6362965703010559,0.5257267951965332,0.896502,0.8617857694625854
109,0.6134075,0.8150987029075623,0.8229849338531494,0.5668684840202332,0.5892092,0.8354454636573792
110,0.7884114,0.7416244745254517,0.7666593194007874,0.5097296237945557,0.8333956,0.7925271391868591
111,0.5583407,0.6318361163139343,0.6349648237228394,0.4297561049461365,0.74773204,0.8516378402709961
112,0.73687303,0.806749165058136,0.7940551042556763,0.5821748375892639,0.73902047,0.84125816822052
